Name,Kingdom,Phylum,Subphylum,Class,Order,Suborder,Family,Genus,Species,Population size,Life span,Top speed,Weight,Height,Length,Attributes,Distribution,Habits,Diet,Mating_Habits,Population
Tacoma pocket gopher,Mazama pocket gopher,,Animalia,Chordata,Vertebrata,,Mammalia,Rodentia,Geomyidae,,,,,,,starts with,"{'Geography': {'Countries': ''}, 'Biome': [], 'Climate': []}",{},,{},{'Population status': 'Extinct (EX)'}
Aonyx capensis capensis,African Clawless Otter,,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Caniformia,Mustelidae,,,,,,,starts with,"{'Geography': {'Countries': ''}, 'Biome': [], 'Climate': []}",{},,{},{}
San Bernardino kangaroo rat,Merriam's Kangaroo Rat,,Animalia,Chordata,Vertebrata,,Mammalia,Rodentia,Heteromyidae,,,,,,,starts with,"{'Geography': {'Countries': ''}, 'Biome': [], 'Climate': []}",{},,{},{'Population status': 'Endangered (EN)'}
Roberts' lechwe,Lechwe,,Animalia,Chordata,Vertebrata,,Mammalia,Artiodactyla,Bovidae,,,,,,,"Terrestrial,starts with","{'Geography': {}, 'Biome': ['Grassland', 'Wetlands '], 'Climate': []}",{},,{},{'Population status': 'Extinct (EX)'}
Black-crowned Central American squirrel monkey,Central American Squirrel Monkey,,Animalia,Chordata,Vertebrata,,Mammalia,Primates,Cebidae,,,,,,,"Terrestrial,starts with","{'Geography': {'Continents': ''}, 'Biome': [], 'Climate': []}",{},,{},"{'Population trend': 'Decreasing', 'Population status': 'Endangered (EN)'}"
Tursiops truncatus gillii,Common Bottlenose Dolphin,,Animalia,Chordata,Vertebrata,,Artiodactyla,Cetacea,Delphinidae,,,,,,,starts with,"{'Geography': {}, 'Biome': [], 'Climate': []}",{'Lifestyle': ''},,{},{}
Black-chinned emperor tamarin,Emperor Tamarin,,Animalia,Chordata,Vertebrata,,Mammalia,Primates,Callitrichidae,,,,,,,"Terrestrial,starts with","{'Geography': {'Continents': ''}, 'Biome': ['Forest'], 'Climate': []}",{},,{},"{'Population trend': 'Decreasing', 'Population status': 'Least concern (LC)'}"
Bengal mongoose,Small Asian Mongoose,,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Herpestidae,Herpestinae,,,,,,,starts with,"{'Geography': {}, 'Biome': [], 'Climate': []}",{'Lifestyle': ''},,{},{}
Azuero howler,Coiba Island howler,,Animalia,Chordata,Vertebrata,Mammalia,Haplorhini,Simiiformes,Atelidae,,,,,,,"Terrestrial,starts with","{'Geography': {'Continents': 'North America', 'Countries': 'Panama', 'Biogeographical realms': 'Neotropical'}, 'Biome': ['Forest'], 'Climate': []}",{},,{},"{'Population trend': 'Decreasing', 'Population status': 'Endangered (EN)'}"
Chadwick Beach cotton mouse,Cotton Mouse,,Animalia,Chordata,Vertebrata,,Mammalia,Cricetidae,Reithrodontomyini,,,,,,,starts with,"{'Geography': {'Countries': ''}, 'Biome': [], 'Climate': []}",{},,{},{'Population status': 'Extinct (EX)'}
Spanish red deer,Red Deer,,Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,Cervidae,Cervinae,,,,,,,starts with,"{'Geography': {'Countries': ''}, 'Biome': [], 'Climate': []}",{'Lifestyle': ''},,{},{}
Buergers' tree-kangaroo,Goodfellow's Tree-Kangaroo,,Animalia,Chordata,Mammalia,,Marsupialia,Diprotodontia,Macropodidae,,,,,,,starts with,"{'Geography': {'Countries': ''}, 'Biome': [], 'Climate': []}",{'Lifestyle': ''},,{},{}
Ruwenzori colobus,Angola Colobus,,Animalia,Chordata,Vertebrata,Mammalia,Haplorhini,Simiiformes,Cercopithecidae,,,,,,,"Terrestrial,starts with","{'Geography': {'Continents': ''}, 'Biome': ['Forest'], 'Climate': []}",{},,{},"{'Population trend': 'Decreasing', 'Population status': 'Data deficient (DD)'}"
Ecuadorian mantled howler,Mantled Howler Monkey,,Animalia,Chordata,Vertebrata,Mammalia,Haplorhini,Simiiformes,Atelidae,,,,,,,"Terrestrial,starts with","{'Geography': {'Continents': 'South America, North America', 'Countries': 'Costa Rica, Panama,  Ecuador, Colombia, Peru', 'Biogeographical realms': 'Neotropical'}, 'Biome': ['Forest'], 'Climate': []}","{'Lifestyle': 'Terrestrial,'}",,{},"{'Population trend': 'Decreasing', 'Population status': 'Vulnerable (VU)'}"
Southern brown howler,Brown Howler,,Animalia,Chordata,Vertebrata,Mammalia,Haplorhini,Simiiformes,Atelidae,,,,,,,"Terrestrial,starts with","{'Geography': {'Continents': ''}, 'Biome': ['Forest'], 'Climate': []}",{},,{},"{'Population trend': 'Decreasing', 'Population status': 'Vulnerable (VU)'}"
South China sika deer,Sika Deer,,Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,Cervidae,Cervinae,,,,,,,starts with,"{'Geography': {'Countries': ''}, 'Biome': [], 'Climate': []}",{},,{},{}
Turkmen wild goat,Wild Goat,,Animalia,Chordata,Vertebrata,,Mammalia,Bovidae,Caprinae,,,,,,,starts with,"{'Geography': {'Countries': ''}, 'Biome': [], 'Climate': []}",{},,{},{}
Cervus elaphus acoronatus,Red Deer,,Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,Cervidae,Cervinae,,,,,,,starts with,"{'Geography': {}, 'Biome': [], 'Climate': []}",{},,{},{}
Sichuan sika deer,Sika Deer,,Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,Cervidae,Cervinae,,,,,,,starts with,"{'Geography': {'Countries': ''}, 'Biome': [], 'Climate': []}",{},,{},{}
Christmas Island flying fox,Black-eared flying fox,,Animalia,Chordata,Vertebrata,,Mammalia,Chiroptera,Pteropodidae,,,,,,,"Terrestrial,starts with","{'Geography': {'Continents': 'Asia', 'Countries': 'India, Indonesia', 'Regions': 'Christmas Island', 'Islands': 'Andaman Island, Nicobar Island', 'Biogeographical realms': 'Indomalayan', 'Wwf biomes': 'Desert and Xeric Shrublands, Mangrove'}, 'Biome': ['Forest'], 'Climate': []}",{},,{},"{'Population trend': 'Decreasing', 'Population status': 'Vulnerable (VU)'}"
Tule shrew,Ornate shrew,,Animalia,Chordata,Vertebrata,,Mammalia,Eulipotyphla,Soricidae,,,,,,,starts with,"{'Geography': {'Countries': ''}, 'Biome': [], 'Climate': []}",{},,{},{'Population status': 'Extinct (EX)'}
Cave lynx,Iberian Lynx,,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Feliformia,Felidae,,,,,,,starts with,"{'Geography': {'Countries': ''}, 'Biome': [], 'Climate': []}",{},,{},{}
Muna-Buton macaque,Booted macaque,,Animalia,Chordata,Vertebrata,Mammalia,Haplorhini,Simiiformes,Cercopithecidae,,,,,,,"Terrestrial,starts with","{'Geography': {'Continents': ''}, 'Biome': [], 'Climate': []}",{},,{},"{'Population trend': 'Decreasing', 'Population status': 'Vulnerable (VU)'}"
Sorex ornatus sinuosus,Ornate shrew,,Animalia,Chordata,Vertebrata,,Mammalia,Eulipotyphla,Soricidae,,,,,,,starts with,"{'Geography': {'Countries': ''}, 'Biome': [], 'Climate': []}",{},,{},{}
Felis chaus fulvidina,Jungle Cat,,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Feliformia,Felidae,,,,,,,starts with,"{'Geography': {'Countries': ''}, 'Biome': [], 'Climate': []}",{},,{},{}
Puerto Rican long-nosed bat,Insular single leaf bat,,Animalia,Chordata,Vertebrata,,Mammalia,Chiroptera,Phyllostomidae,,,,,,,starts with,"{'Geography': {'Countries': ''}, 'Biome': [], 'Climate': []}",{},,{},{}
Austro-Hungarian wolf,Grey Wolf,,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Caniformia,Canidae,,,,,,,starts with,"{'Geography': {'Countries': ''}, 'Biome': [], 'Climate': []}",{},,{},{}
Prince of Wales flying squirrel,Northern Flying Squirrel,,Animalia,Chordata,Vertebrata,,Mammalia,Sciuridae,Pteromyini,,,,,,,starts with,"{'Geography': {'Countries': ''}, 'Biome': [], 'Climate': []}",{},,{},{}
Hose's mongoose,Short-tailed mongoose,,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Herpestidae,Herpestinae,,,,,,,starts with,"{'Geography': {'Countries': ''}, 'Biome': [], 'Climate': []}",{},,{},{}
Lesser Antillean funnel-eared bat,Mexican funnel-eared bat,,Animalia,Chordata,Vertebrata,,Mammalia,Chiroptera,Natalidae,,,,,,,starts with,"{'Geography': {'Regions': ''}, 'Biome': [], 'Climate': []}",{},,{},{}
Indochinese serow,Mainland serow,,Animalia,Chordata,Vertebrata,,Mammalia,Bovidae,Caprinae,,,,,,,starts with,"{'Geography': {'Countries': ''}, 'Biome': [], 'Climate': []}",{'Lifestyle': ''},,{},{'Population status': 'Vulnerable (VU)'}
Azuero spider monkey,Geoffroy's Spider Monkey,,Animalia,Chordata,Vertebrata,Mammalia,Haplorhini,Atelidae,Atelinae,,,,,,,"Terrestrial,starts with","{'Geography': {'Continents': ''}, 'Biome': ['Forest'], 'Climate': []}",{},,{},"{'Population trend': 'Decreasing', 'Population status': 'Critically endangered (CR)'}"
Epixerus ebii wilsoni,Epixerus,,Animalia,Chordata,Vertebrata,,Mammalia,Rodentia,Sciuridae,,,,,,,starts with,"{'Geography': {'Countries': ''}, 'Biome': [], 'Climate': []}",{},,{},{}
Margarita Island kangaroo rat,Merriam's Kangaroo Rat,,Animalia,Chordata,Vertebrata,,Mammalia,Rodentia,Heteromyidae,,,,,,,starts with,"{'Geography': {'Countries': ''}, 'Biome': [], 'Climate': []}",{},,{},{'Population status': 'Critically endangered (CR)'}
San José Island kangaroo rat,Merriam's Kangaroo Rat,,Animalia,Chordata,Vertebrata,,Mammalia,Rodentia,Heteromyidae,,,,,,,starts with,"{'Geography': {'Countries': ''}, 'Biome': [], 'Climate': []}",{},,{},{'Population status': 'Critically endangered (CR)'}
Zulu golden mole,Hottentot golden mole,,Animalia,Chordata,Vertebrata,,Mammalia,Afrosoricida,Chrysochloridae,,,,,,,"Terrestrial,starts with","{'Geography': {'Continents': ''}, 'Biome': ['Anthropogenic biome', 'Forest', 'Grassland', 'Savanna', 'Shrubland'], 'Climate': []}",{},,{},"{'Population trend': 'Unknown', 'Population status': 'Least concern (LC)'}"
Namaqua slender mongoose,Slender Mongoose,,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Feliformia,Herpestidae,,,,,,,starts with,"{'Geography': {'Countries': ''}, 'Biome': [], 'Climate': []}",{},,{},{'Population status': 'Least concern (LC)'}
Chapman's prehensile-tailed hutia,Prehensile-tailed hutia,,Animalia,Chordata,Vertebrata,,Mammalia,Rodentia,Capromyidae,,,,,,,starts with,"{'Geography': {'Countries': ''}, 'Biome': [], 'Climate': []}",{'Lifestyle': ''},,{},{'Population status': 'Near Threatened (NT)'}
Chapa pygmy dormouse,Chinese pygmy dormouse,,Animalia,Chordata,Vertebrata,,Mammalia,Rodentia,Platacanthomyidae,,,,,,,"Terrestrial,starts with","{'Geography': {'Continents': ''}, 'Biome': ['Forest'], 'Climate': []}",{},,{},"{'Population trend': 'Decreasing', 'Population status': 'Least concern (LC)'}"
Red-Eared Slider,Pond Slider,,Animalia,Chordata,Vertebrata,Reptilia,Testudines,Cryptodira,Emydidae,Trachemys,Trachemys scripta elegans,,,,Unknown,"Diurnal,Omnivore,Semiaquatic,Precocial,Terrestrial,Oviparous,Brumation,Social,Domesticated,starts with","{'Geography': {'Continents': 'North America', 'Countries': 'Mexico, United States', 'Biogeographical realms': 'Nearctic'}, 'Biome': ['Lakes', 'Rivers', 'Freshwater', 'Wetlands ', 'Swamp'], 'Climate': ['Temperate']}","{'Lifestyle': 'Semiaquatic, Precocial, Terrestrial, Oviparous, Brumation'}",Omnivore,"{'Reproduction season': 'March-July', 'Incubation period': '59-112 days', 'Independent age': 'at birth', 'Baby name': 'hatchling', 'Baby carrying': '2-30 eggs'}","{'Population trend': 'Stable', 'Population status': 'Least concern (LC)'}"
Eastern Box Turtle,Common Box Turtle,,Animalia,Chordata,Vertebrata,Reptilia,Testudines,Cryptodira,Emydidae,Terrapene,Terrapene carolina carolina,,,,Unknown,"Diurnal,Omnivore,Terrestrial,Precocial,Burrowing,Oviparous,Social,Hibernating,Semi-domesticated,starts with","{'Geography': {'Continents': 'North America', 'Countries': 'Canada, United States', 'Regions': 'Yucatan', 'Biogeographical realms': 'Nearctic', 'Wwf biomes': 'Temperate broadleaf and mixed forest, Temperate grasslands, Tropical moist forests'}, 'Biome': ['Freshwater', 'Anthropogenic biome', 'Forest', 'Shrubland', 'Wetlands ', 'Agricultural', 'Grassland'], 'Climate': ['Tropical', 'Temperate']}","{'Group name': 'bale, nest, turn, dole, creep', 'Lifestyle': 'Terrestrial, Precocial, Burrowing, Oviparous', 'Seasonal behavior': 'Hibernating'}",Omnivore,"{'Reproduction season': 'late spring, summer, early autumn', 'Incubation period': '50-70 days', 'Independent age': 'at birth', 'Female name': 'female', 'Male name': 'male', 'Baby name': 'hatchling', 'Baby carrying': '1-9 eggs'}","{'Population trend': 'Decreasing', 'Population status': 'Vulnerable (VU)'}"
Southern Black Racer,Eastern Racer,,Animalia,Chordata,Vertebrata,Reptilia,Squamata,Serpentes,Colubridae,Coluber,Coluber constrictor priapus,,,,Unknown,"Diurnal,Carnivore,Terrestrial,Precocial,Oviparous,Solitary,Not a migrant,starts with","{'Geography': {'Continents': 'North America', 'Countries': 'United States', 'Wwf biomes': 'Desert and Xeric Shrublands, Temperate broadleaf and mixed forest, Temperate coniferous forest, Temperate grasslands'}, 'Biome': ['Shrubland', 'Woodland', 'Anthropogenic biome', 'Agricultural', 'Suburban'], 'Climate': ['Temperate']}","{'Group name': 'den, nest, pit, bed, knot', 'Lifestyle': 'Terrestrial, Precocial, Oviparous', 'Seasonal behavior': 'Not a migrant'}",Carnivore,"{'Reproduction season': 'March-August', 'Independent age': 'at birth', 'Female name': 'female', 'Male name': 'male', 'Baby name': 'snakelet', 'Baby carrying': '20 young'}",{'Population status': 'Not evaluated (NE)'}
Yellow-bellied slider,Pond Slider,,Animalia,Chordata,Vertebrata,Reptilia,Testudines,Cryptodira,Emydidae,,,,,,,starts with,"{'Geography': {'Countries': '', 'Regions': ''}, 'Biome': [], 'Climate': []}",{'Lifestyle': ''},,{},{'Population status': 'Least concern (LC)'}
Eastern milk snake,Milk Snake,,Animalia,Chordata,Vertebrata,Reptilia,Squamata,Serpentes,Colubridae,,,,,,,"Terrestrial,Not a migrant,starts with","{'Geography': {'Continents': ''}, 'Biome': ['Freshwater', 'Anthropogenic biome', 'Forest', 'Grassland', 'Rocky areas ', 'Savanna', 'Shrubland', 'Wetlands '], 'Climate': []}","{'Lifestyle': 'Terrestrial,', 'Seasonal behavior': 'Not a migrant'}",,{},"{'Population trend': 'Stable', 'Population status': 'Least concern (LC)'}"
Mexican black kingsnake,Eastern Kingsnake,,Animalia,Chordata,Vertebrata,Reptilia,Squamata,Serpentes,Colubridae,,,,,,,starts with,"{'Geography': {'Countries': ''}, 'Biome': [], 'Climate': []}",{'Lifestyle': ''},,{},{}
Pacific gopher snake,Gopher Snake,,Animalia,Chordata,Vertebrata,Reptilia,Squamata,Serpentes,Colubridae,,,,,,,"Diurnal,Carnivore,starts with","{'Geography': {'Countries': ''}, 'Biome': [], 'Climate': []}",{'Lifestyle': ''},Carnivore,{},{}
Eastern Garter Snake,Common garter snake,,Animalia,Chordata,Vertebrata,Reptilia,Squamata,Serpentes,Colubridae,Thamnophis,Thamnophis sirtalis sirtalis,,Unknown,,10 yrs,"Nocturnal,Diurnal,Carnivore,Terrestrial,Precocial,Polygynandry,Solitary,Hibernating,starts with","{'Geography': {'Continents': 'North America', 'Countries': 'Canada, Mexico, United States', 'Regions': 'Temperate broadleaf and mixed forest, Temperate coniferous forest, Temperate grasslands'}, 'Biome': ['Lakes', 'Rivers', 'Urban wildlife'], 'Climate': ['Temperate']}","{'Group name': 'den, nest, pit, bed, knot', 'Lifestyle': 'Terrestrial, Precocial,', 'Seasonal behavior': 'Hibernating'}",Carnivore,"{'Mating behavior': 'Polygynandry', 'Reproduction season': 'spring, fall', 'Pregnancy duration': '2-3 months', 'Baby carrying': '10-40 young', 'Independent age': 'at birth', 'Female name': 'female', 'Male name': 'male', 'Baby name': 'snakelet'}",{'Population status': 'Least concern (LC)'}
Ornate box turtle,Terrapene ornata,,Animalia,Chordata,Vertebrata,Reptilia,Testudines,Cryptodira,Emydidae,,,,,,,"Terrestrial,starts with","{'Geography': {'Continents': ''}, 'Biome': ['Freshwater', 'Anthropogenic biome', 'Grassland'], 'Climate': []}","{'Lifestyle': 'Terrestrial,'}",,{},"{'Population trend': 'Decreasing', 'Population status': 'Near Threatened (NT)'}"
Agkistrodon contortrix mokasen,Copperhead,,Animalia,Chordata,Vertebrata,Reptilia,Squamata,Serpentes,Viperidae,,,,,,,"Venomous,starts with","{'Geography': {'Countries': ''}, 'Biome': [], 'Climate': []}",{'Lifestyle': ''},,{},{}
Texas brown snake,Brown Snake,,Animalia,Chordata,Vertebrata,Reptilia,Squamata,Serpentes,Colubridae,,,,,,,"Oviparous,Precocial,Non-venomous,starts with","{'Geography': {'Countries': ''}, 'Biome': [], 'Climate': []}",{},,{},{}
Drymarchon melanurus erebennus,Middle American indigo snake,,Animalia,Chordata,Vertebrata,Reptilia,Squamata,Serpentes,Colubridae,,,,,,,"Non-venomous,starts with","{'Geography': {'Countries': ''}, 'Biome': [], 'Climate': []}",{},,{},{}
Northern redbelly snake,Storeria occipitomaculata,,Animalia,Chordata,Vertebrata,Reptilia,Squamata,Serpentes,Colubridae,,,,,,,starts with,"{'Geography': {'Countries': ''}, 'Biome': [], 'Climate': []}",{'Lifestyle': ''},,{},{}
Diadophis punctatus edwardsii,Ring-Necked Snake,,Animalia,Chordata,Vertebrata,Reptilia,Squamata,Serpentes,Colubridae,,,,,,,starts with,"{'Geography': {'Countries': ''}, 'Biome': [], 'Climate': []}",{},,{},{}
Agkistrodon piscivorus conanti,Water Moccasin,,Animalia,Chordata,Vertebrata,Reptilia,Squamata,Serpentes,Viperidae,,,,,,,starts with,"{'Geography': {'Countries': '', 'Regions': 'Mangrove'}, 'Biome': [], 'Climate': []}",{'Lifestyle': ''},,{},{}
Florida banded water snake,Banded Water Snake,,Animalia,Chordata,Vertebrata,Reptilia,Squamata,Serpentes,Colubridae,,,,,,,starts with,"{'Geography': {'Countries': ''}, 'Biome': [], 'Climate': []}",{'Lifestyle': ''},,{},{}
Sistrurus miliarius barbouri,Pygmy Rattlesnake,,Animalia,Chordata,Vertebrata,Reptilia,Squamata,Serpentes,Viperidae,,,,,,,starts with,"{'Geography': {'Countries': ''}, 'Biome': [], 'Climate': []}",{},,{},{}
California red-sided garter snake,Common garter snake,,Animalia,Chordata,Vertebrata,Reptilia,Squamata,Serpentes,Colubridae,,,,,,,"Oviparous,Viviparous,Precocial,starts with","{'Geography': {'Countries': ''}, 'Biome': [], 'Climate': []}",{},,{},{}
Three-toed box turtle,Common Box Turtle,,Animalia,Chordata,Vertebrata,Reptilia,Testudines,Cryptodira,Emydidae,,,,,,,starts with,"{'Geography': {'Countries': ''}, 'Biome': [], 'Climate': []}","{'Lifestyle': '', 'Seasonal behavior': ''}",,{},{}
San Francisco garter snake,Common garter snake,,Animalia,Chordata,Vertebrata,Reptilia,Squamata,Serpentes,Colubridae,,,,,,,starts with,"{'Geography': {'Countries': ''}, 'Biome': [], 'Climate': []}",{'Lifestyle': ''},,{},{'Population status': 'Endangered (EN)'}
Agkistrodon piscivorus leucostoma,Water Moccasin,,Animalia,Chordata,Vertebrata,Reptilia,Squamata,Serpentes,Viperidae,,,,,,,starts with,"{'Geography': {'Countries': ''}, 'Biome': [], 'Climate': []}",{'Lifestyle': ''},,{},{}
Coluber constrictor flaviventris,Eastern Racer,,Animalia,Chordata,Vertebrata,Reptilia,Squamata,Serpentes,Colubridae,,,,,,,starts with,"{'Geography': {'Countries': ''}, 'Biome': [], 'Climate': []}",{},,{},{}
Texas Garter Snake,Common garter snake,,Animalia,Chordata,Vertebrata,Reptilia,Squamata,Serpentes,Colubridae,,Thamnophis,,,,Thamnophis sirtalis annectens,"Diurnal,Carnivore,Precocial,Terrestrial,Ambush predator,Ovoviviparous,Non-venomous,Generally solitary,Not a migrant,starts with","{'Geography': {'Countries': 'United States', 'Regions': 'Kansas, South Dakota, Texas', 'Wwf biomes': 'Temperate broadleaf and mixed forest, Temperate coniferous forest, Temperate grasslands'}, 'Biome': ['Savanna', 'Shrubland', 'Grassland', 'Wetlands ', 'Riparian'], 'Climate': ['Temperate']}","{'Lifestyle': 'Precocial, Terrestrial, Ambush predator, Ovoviviparous', 'Seasonal behavior': 'Not a migrant'}",Carnivore,"{'Baby carrying': '20-40 young', 'Independent age': 'at birth', 'Female name': 'female', 'Male name': 'male', 'Baby name': 'snakelet'}","{'Population trend': 'Stable', 'Population status': 'Least concern (LC)'}"
Florida box turtle,Common Box Turtle,,Animalia,Chordata,Vertebrata,Reptilia,Testudines,Cryptodira,Emydidae,,,,,,,starts with,"{'Geography': {'Countries': ''}, 'Biome': [], 'Climate': []}",{'Lifestyle': ''},,{},{'Population status': 'Vulnerable (VU)'}
Pituophis catenifer deserticola,Gopher Snake,,Animalia,Chordata,Vertebrata,Reptilia,Squamata,Serpentes,Colubridae,,,,,,,starts with,"{'Geography': {'Countries': ''}, 'Biome': [], 'Climate': []}",{'Lifestyle': ''},,{},{}
Mississippi map turtle,False map turtle,,Animalia,Chordata,Vertebrata,Reptilia,Testudines,Cryptodira,Emydidae,,,,,,,"Terrestrial,starts with","{'Geography': {'Continents': ''}, 'Biome': ['Freshwater', 'Wetlands '], 'Climate': []}",{},,{},"{'Population trend': 'Unknown', 'Population status': 'Least concern (LC)'}"
Cumberland slider,Pond Slider,,Animalia,Chordata,Vertebrata,Reptilia,Testudines,Cryptodira,Emydidae,,,,,,,starts with,"{'Geography': {'Countries': ''}, 'Biome': [], 'Climate': []}",{'Lifestyle': ''},,{},{}
Western yellow-bellied racer,Eastern Racer,,Animalia,Chordata,Vertebrata,Reptilia,Squamata,Serpentes,Colubridae,,,,,,,starts with,"{'Geography': {'Countries': ''}, 'Biome': [], 'Climate': []}",{'Lifestyle': ''},,{},{}
Southern ribbon snake,Ribbon Snake,,Animalia,Chordata,Vertebrata,Reptilia,Squamata,Serpentes,Colubridae,,,,,,,starts with,"{'Geography': {'Countries': ''}, 'Biome': [], 'Climate': []}",{},,{},{'Population status': 'Least concern (LC)'}
Black-throated monitor,Rock Monitor,,Animalia,Chordata,Vertebrata,,Reptilia,Squamata,Varanidae,,,,,,,starts with,"{'Geography': {'Countries': ''}, 'Biome': [], 'Climate': []}",{},,{},{}
Eastern river cooter,River Cooter,,Animalia,Chordata,Vertebrata,Reptilia,Testudines,Cryptodira,Emydidae,,,,,,,starts with,"{'Geography': {'Countries': ''}, 'Biome': [], 'Climate': []}",{},,{},{}
Glossy crayfish snake,Crayfish snake,,Animalia,Chordata,Vertebrata,,Reptilia,Squamata,Natricidae,,,,,,,starts with,"{'Geography': {'Continents': ''}, 'Biome': ['Freshwater', 'Wetlands ', 'Anthropogenic biome'], 'Climate': []}",{},,{},"{'Population trend': 'Stable', 'Population status': 'Least concern (LC)'}"
Desert box turtle,Terrapene ornata,,Animalia,Chordata,Vertebrata,Reptilia,Testudines,Cryptodira,Emydidae,,,,,,,starts with,"{'Geography': {'Countries': ''}, 'Biome': [], 'Climate': []}","{'Lifestyle': '', 'Seasonal behavior': ''}",,{},{}
Agkistrodon contortrix laticinctus,Copperhead,,Animalia,Chordata,Vertebrata,Reptilia,Squamata,Serpentes,Viperidae,,,,,,,starts with,"{'Geography': {'Continents': ''}, 'Biome': ['Forest'], 'Climate': []}",{'Lifestyle': ''},,{},{}
Mexican milk snake,Milk Snake,,Animalia,Chordata,Vertebrata,Reptilia,Squamata,Serpentes,Colubridae,,,,,,,"Terrestrial,starts with","{'Geography': {'Continents': ''}, 'Biome': ['Forest', 'Grassland', 'Rocky areas ', 'Savanna', 'Shrubland', 'Coastal'], 'Climate': []}","{'Lifestyle': 'Terrestrial,'}",,{},"{'Population trend': 'Stable', 'Population status': 'Least concern (LC)'}"
Storeria occipitomaculata obscura,Storeria occipitomaculata,,Animalia,Chordata,Vertebrata,Reptilia,Squamata,Serpentes,Colubridae,,,,,,,starts with,"{'Geography': {'Countries': ''}, 'Biome': [], 'Climate': []}",{},,{},{}
Pueblan milk snake,Milk Snake,,Animalia,Chordata,Vertebrata,Reptilia,Squamata,Serpentes,Colubridae,,,,,,,starts with,"{'Geography': {'Countries': ''}, 'Biome': [], 'Climate': []}",{},,{},{}
Morelia spilota cheynei,Carpet Python,,Animalia,Chordata,Vertebrata,Reptilia,Squamata,Serpentes,Pythonidae,,,,,,,starts with,"{'Geography': {'Countries': ''}, 'Biome': [], 'Climate': []}",{'Lifestyle': ''},,{},{}
Red milk snake,Milk Snake,,Animalia,Chordata,Vertebrata,Reptilia,Squamata,Serpentes,Colubridae,,,,,,,starts with,"{'Geography': {'Countries': ''}, 'Biome': [], 'Climate': []}",{'Lifestyle': ''},,{},{}
Nerodia erythrogaster neglecta,Plain-Bellied Water Snake,,Animalia,Chordata,Vertebrata,Reptilia,Squamata,Serpentes,Colubridae,,,,,,,starts with,"{'Geography': {'Countries': ''}, 'Biome': [], 'Climate': []}",{},,{},{'Population status': 'Vulnerable (VU)'}
Morelia spilota spilota,Carpet Python,,Animalia,Chordata,Vertebrata,Reptilia,Squamata,Serpentes,Pythonidae,,,,,,,starts with,"{'Geography': {'Countries': ''}, 'Biome': [], 'Climate': []}",{'Lifestyle': ''},,{},{'Population status': 'Least concern (LC)'}
Honduran milk snake,Milk Snake,,Animalia,Chordata,Vertebrata,Reptilia,Squamata,Serpentes,Colubridae,,,,,,,starts with,"{'Geography': {'Countries': ''}, 'Biome': [], 'Climate': []}",{'Lifestyle': ''},,{},{}
Nerodia sipedon pleuralis,Northern Water Snake,,Animalia,Chordata,Vertebrata,Reptilia,Squamata,Serpentes,Colubridae,,,,,,,starts with,"{'Geography': {'Countries': ''}, 'Biome': [], 'Climate': []}",{},,{},{'Population status': 'Least concern (LC)'}
Pituophis catenifer affinis,Gopher Snake,,Animalia,Chordata,Vertebrata,Reptilia,Squamata,Serpentes,Colubridae,,,,,,,starts with,"{'Geography': {'Countries': ''}, 'Biome': [], 'Climate': []}","{'Lifestyle': '', 'Seasonal behavior': ''}",,{},{}
Morelia spilota mcdowelli,Carpet Python,,Animalia,Chordata,Vertebrata,Reptilia,Squamata,Serpentes,Pythonidae,,,,,,,starts with,"{'Geography': {'Countries': ''}, 'Biome': [], 'Climate': []}",{'Lifestyle': ''},,{},{}
Diadophis punctatus regalis,Ring-Necked Snake,,Animalia,Chordata,Vertebrata,Reptilia,Squamata,Serpentes,Colubridae,,,,,,,starts with,"{'Geography': {'Countries': ''}, 'Biome': [], 'Climate': []}",{},,{},{}
Agkistrodon piscivorus piscivorus,Water Moccasin,,Animalia,Chordata,Vertebrata,Reptilia,Squamata,Serpentes,Viperidae,,,,,,,starts with,"{'Geography': {'Countries': '', 'Regions': ''}, 'Biome': [], 'Climate': []}",{'Lifestyle': ''},,{},{}
Crotalus oreganus abyssus,Western Rattlesnake,,Animalia,Chordata,Vertebrata,Reptilia,Squamata,Serpentes,Viperidae,,,,,,,starts with,"{'Geography': {'Countries': ''}, 'Biome': [], 'Climate': []}",{'Lifestyle': ''},,{},{}
Madagascar day gecko,Phelsuma madagascariensis,,Animalia,Chordata,Vertebrata,,Reptilia,Squamata,Gekkonidae,,,,,,,"Terrestrial,starts with","{'Geography': {'Continents': ''}, 'Biome': ['Anthropogenic biome', 'Forest'], 'Climate': []}","{'Lifestyle': 'Terrestrial,'}",,{},"{'Population trend': 'Decreasing', 'Population status': 'Least concern (LC)'}"
